Target Distance: 100, Step Size: 5
(x,y)=(4.92191, -0.88023)
(x,y)=(-0.0684957, -1.18983)
(x,y)=(-5.06537, -1.01299)
(x,y)=(-0.177701, -2.0669)
(x,y)=(-4.555, 0.349562)
(x,y)=(-4.04707, 5.3237)
(x,y)=(0.741271, 3.88432)
(x,y)=(4.70686, 6.92966)
(x,y)=(9.58497, 8.02694)
(x,y)=(14.2749, 9.76018)
(x,y)=(9.28454, 9.45058)
(x,y)=(8.20887, 14.3335)
(x,y)=(3.65322, 16.3941)
(x,y)=(1.02648, 20.6485)
(x,y)=(6.02472, 20.5159)
(x,y)=(1.04428, 20.9578)
(x,y)=(-3.02671, 23.8607)
(x,y)=(-6.67768, 27.2769)
(x,y)=(-2.01912, 29.0929)
(x,y)=(-0.516161, 24.3241)
(x,y)=(4.46799, 23.9264)
(x,y)=(9.04171, 21.9062)
(x,y)=(4.08571, 21.2443)
(x,y)=(4.01933, 26.2439)
(x,y)=(-0.979892, 26.3322)
(x,y)=(-4.47604, 22.7577)
(x,y)=(-0.209937, 20.15)
(x,y)=(-4.54377, 22.6435)
(x,y)=(-2.22476, 27.0732)
(x,y)=(-4.42534, 22.5835)
(x,y)=(-0.714571, 25.9347)
(x,y)=(3.35633, 28.8377)
(x,y)=(7.64527, 31.4078)
(x,y)=(7.8, 36.4054)
(x,y)=(12.4424, 34.5483)
(x,y)=(17.3984, 33.8866)
(x,y)=(12.4548, 34.6358)
(x,y)=(16.5257, 37.5389)
(x,y)=(11.5758, 38.2445)
(x,y)=(6.59162, 37.8466)
(x,y)=(5.90779, 42.7996)
(x,y)=(1.73659, 45.5566)
(x,y)=(-2.85483, 47.5362)
(x,y)=(-4.44183, 42.7948)
(x,y)=(-3.88974, 37.8253)
(x,y)=(-8.38914, 40.006)
(x,y)=(-5.22255, 43.8755)
(x,y)=(-2.90354, 48.3052)
(x,y)=(-5.64218, 52.4885)
(x,y)=(-4.69653, 47.5787)
(x,y)=(-9.69575, 47.6671)
(x,y)=(-9.71773, 42.6671)
(x,y)=(-14.2362, 40.5262)
(x,y)=(-11.3513, 44.61)
(x,y)=(-9.19055, 49.119)
(x,y)=(-5.04392, 46.3252)
(x,y)=(-9.50401, 48.5852)
(x,y)=(-9.74733, 53.5792)
(x,y)=(-4.9225, 52.2674)
(x,y)=(-8.15721, 56.0801)
(x,y)=(-10.4369, 51.63)
(x,y)=(-14.7926, 49.1748)
(x,y)=(-19.7221, 50.0114)
(x,y)=(-23.281, 46.4994)
(x,y)=(-21.6938, 41.758)
(x,y)=(-16.9317, 40.2341)
(x,y)=(-21.5574, 42.1321)
(x,y)=(-22.3286, 37.1919)
(x,y)=(-19.9703, 32.783)
(x,y)=(-14.9752, 32.5619)
(x,y)=(-11.5108, 36.1672)
(x,y)=(-8.41321, 40.0921)
(x,y)=(-4.85423, 36.5802)
(x,y)=(-8.25435, 40.2461)
(x,y)=(-3.98825, 37.6384)
(x,y)=(-2.02896, 42.2385)
(x,y)=(-6.70341, 40.4638)
(x,y)=(-10.2623, 36.9518)
(x,y)=(-13.7584, 33.3773)
(x,y)=(-8.81491, 34.1267)
(x,y)=(-4.50331, 31.5949)
(x,y)=(0.4527, 30.9331)
(x,y)=(-0.837809, 26.1025)
(x,y)=(-5.72544, 25.0485)
(x,y)=(-5.21751, 30.0226)
